modelo,accuracy,macro_f1,macro_precision,macro_recall,n_muestras_test
CNN (Sign Language MNIST),0.9967930842163971,0.9963057649009871,0.996751367845118,0.9961330208060145,7172
Random Forest (MediaPipe landmarks),0.9260869565217391,0.925935391839282,0.932981993851559,0.9260869565217391,230
